filelist,lw,rw,ondemand,extraworkXline,topk,result
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,1,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,3,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,7,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,11,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,19,1,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,0,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,1,1000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
/opt/SPMcode/A2/filelist.txt,1,27,0,10000,5,OK
